Wall time,Step,Value
1549671845.880699,48834560,2.0624513626098633
1549672794.404947,48931840,1.8246294260025024
1549676256.016123,49287680,1.6456559896469116
1549678391.442491,49505280,1.7199275493621826
1549680306.131668,49702400,1.7017672061920166
1549680930.712192,49766400,1.75702965259552
1549681601.848122,49835520,1.8839938640594482
1549681650.360937,49840640,1.9729223251342773
1549681726.537198,49848320,2.007141590118408
1549683179.652247,49996800,1.8485262393951416
1549683403.041922,50019840,1.7975585460662842
1549685048.580337,50188800,1.849209189414978
1549685127.254081,50196480,1.8879361152648926
1549686598.691817,50346240,1.8845365047454834
1549687089.233508,50396160,1.8493021726608276
1549687239.514152,50411520,1.961672067642212
1549688394.648949,50529280,1.8717730045318604
1549689176.09777,50608640,1.9004791975021362
1549689397.52588,50631680,1.843278169631958
1549689595.843647,50652160,1.829742431640625
1549690924.198454,50787840,1.7385649681091309
1549691121.807783,50808320,1.797428011894226
1549691394.983018,50836480,1.896340012550354
1549694598.696863,51164160,1.785055160522461
1549694674.266455,51171840,1.913512945175171
1549695026.421934,51207680,2.0253946781158447
1549698873.685367,51601920,1.748044729232788
1549699027.952714,51617280,1.8045580387115479
1549699127.665664,51627520,1.917527198791504
1549700855.393104,51804160,1.6981234550476074
1549701244.162553,51845120,1.8850425481796265
1549701366.435297,51857920,1.9912296533584595
1549701464.683558,51868160,1.832840085029602
1549702031.57332,51927040,1.7702844142913818
1549704483.02226,52177920,1.9579797983169556
1549705031.09156,52234240,1.9039075374603271
1549705359.080445,52267520,1.6679198741912842
1549705888.427146,52321280,1.7387076616287231
1549706387.714816,52372480,1.8944001197814941
1549706791.224152,52413440,1.8784631490707397
1549708077.583882,52544000,1.8887919187545776
1549708708.736094,52608000,1.7760854959487915
1549710688.905577,52810240,1.869240164756775
1549710785.69322,52820480,2.0630710124969482
1549711172.108689,52858880,1.8737233877182007
1549711528.404259,52894720,2.008283853530884
1549713534.361882,53099520,2.019894599914551
1549713932.235533,53140480,1.8402866125106812
1549719111.973683,53670400,1.9051982164382935
1549719985.15714,53760000,1.8691245317459106
